Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Tract, %",Internet Access Score,"Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Tract, %",Spend Growth Score,"Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Tract, %"
Yes,13121006300,Fulton County,Georgia,2020,36.0,52,19,35.0,33.0,37,3.0,-14.4,63.0,87.9,61,5.9,60.0,75.1,5.0,57.8,22.0,43.9,34.0,55,14.0,58.0,14.6,44.0,,64.0,42.1,18.0,1.8,7.0,8.0,17.0,13.2,36.0,68.0,5.0,71.0,51.1,65.0,,4.0,52.4,3.0,55.8,12.0,9.8,1.0,76.0
Yes,13121006300,Fulton County,Georgia,2021,28.0,33,23,32.0,22.0,42,23.0,-4.0,22.0,7.2,61,5.9,63.0,76.4,7.0,69.4,38.0,50.8,24.0,31,17.0,63.0,14.5,17.0,,12.0,-14.8,27.0,3.2,8.0,11.0,16.0,13.2,28.0,47.0,9.0,56.0,22.7,38.0,,3.0,52.6,23.0,46.5,,,1.0,73.3
Yes,13121006300,Fulton County,Georgia,2022,32.0,40,23,48.0,47.0,48,54.0,6.7,40.0,38.4,61,5.9,70.0,78.1,7.0,72.9,56.0,58.8,25.0,35,15.0,18.0,-31.7,20.0,,68.0,139.1,15.0,2.3,6.0,7.0,25.0,15.9,22.0,38.0,7.0,32.0,11.9,43.0,,3.0,51.1,18.0,48.0,,,1.0,75.1
Yes,13121006300,Fulton County,Georgia,2023,31.0,42,20,46.0,55.0,38,65.0,18.1,45.0,65.9,61,5.9,46.0,71.2,4.0,71.7,41.0,53.4,38.0,63,13.0,76.0,102.3,51.0,,63.0,21.8,5.0,1.1,6.0,7.0,27.0,16.2,8.0,8.0,9.0,9.0,-1.7,8.0,,4.0,55.6,23.0,46.7,,,1.0,72.1
Yes,13121006300,Fulton County,Georgia,2024,31.0,38,24,46.0,55.0,38,65.0,18.1,45.0,65.9,61,5.9,46.0,71.2,4.0,71.7,41.0,53.4,36.0,46,25.0,15.0,-19.5,60.0,,63.0,21.8,,,6.0,7.0,44.0,1.1,10.0,12.0,9.0,9.0,-1.7,14.0,,4.0,55.6,23.0,46.7,,,1.0,72.1
Yes,13121012000,Fulton County,Georgia,2020,42.0,52,31,44.0,50.0,38,50.0,4.0,49.0,44.8,48,3.9,43.0,71.2,7.0,61.3,54.0,57.4,46.0,57,34.0,83.0,63.6,20.0,,69.0,34.9,29.0,2.4,12.0,16.0,60.0,22.6,34.0,48.0,21.0,69.0,46.5,26.0,,3.0,50.5,3.0,55.6,77.0,37.5,1.0,77.3
Yes,13121012000,Fulton County,Georgia,2021,46.0,56,35,54.0,65.0,42,66.0,10.4,64.0,101.2,48,3.9,70.0,78.4,1.0,55.2,51.0,55.9,46.0,50,42.0,21.0,-15.1,71.0,,59.0,20.7,22.0,2.8,33.0,42.0,70.0,24.9,37.0,54.0,20.0,49.0,19.4,60.0,,3.0,52.0,2.0,59.1,77.0,41.5,0.0,71.7
Yes,13121012000,Fulton County,Georgia,2022,44.0,47,40,58.0,67.0,50,66.0,11.6,68.0,231.0,48,3.9,90.0,84.0,1.0,59.0,62.0,61.0,43.0,41,45.0,23.0,-34.6,29.0,,72.0,75.7,41.0,4.3,23.0,30.0,72.0,25.9,29.0,32.0,26.0,8.0,-1.4,55.0,,4.0,55.4,1.0,62.7,98.0,90.1,0.0,68.8
Yes,13121012000,Fulton County,Georgia,2023,41.0,44,38,56.0,67.0,44,66.0,13.0,68.0,239.0,48,3.9,80.0,80.2,1.0,59.6,49.0,56.2,48.0,48,48.0,31.0,5.7,78.0,,34.0,-16.3,52.0,4.1,23.0,30.0,69.0,24.8,20.0,18.0,22.0,5.0,-7.2,31.0,,4.0,57.2,0.0,69.1,83.0,48.0,1.0,72.4
Yes,13121012000,Fulton County,Georgia,2024,45.0,51,39,56.0,67.0,44,66.0,13.0,68.0,239.0,48,3.9,80.0,80.2,1.0,59.6,49.0,56.2,48.0,47,50.0,35.0,-10.8,73.0,,34.0,-16.3,62.0,4.5,23.0,30.0,66.0,1.8,30.0,38.0,22.0,5.0,-7.2,71.0,,4.0,57.2,0.0,69.1,83.0,48.0,1.0,72.4
